,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
2008-03-14,680.0,680.0,650.0,655.0,513.46630859375,94057500,BBCA.JK,523.5927,466.43127441406244,-47.03503417968756,0.0
2008-03-24,620.0,630.0,605.0,630.0,493.86834716796875,54520000,BBCA.JK,506.35992,493.8683471679687,-5.684341886080802e-14,0.0
2008-03-25,635.0,640.0,620.0,630.0,493.86834716796875,236615000,BBCA.JK,500.55228,493.8683471679687,-5.684341886080802e-14,0.0
2008-03-26,625.0,635.0,620.0,630.0,493.86834716796875,112637500,BBCA.JK,492.05045,489.94851684570307,0.0,3.919830322265682
2008-03-28,620.0,650.0,620.0,650.0,509.5467834472656,141785000,BBCA.JK,504.82346,509.5467834472657,0.0,-5.684341886080802e-14
2008-04-07,630.0,630.0,575.0,580.0,454.6724548339844,366425000,BBCA.JK,457.44983,442.9135437011718,-11.758911132812557,0.0
2008-04-14,565.0,570.0,555.0,570.0,446.83331298828125,102550000,BBCA.JK,438.03955,462.51162719726557,0.0,-15.678314208984318
2008-05-09,635.0,640.0,625.0,630.0,493.86834716796875,31062500,BBCA.JK,483.3036,497.7879638671875,0.0,-3.91961669921875
2008-05-29,560.0,565.0,550.0,560.0,438.99420166015625,181555000,BBCA.JK,447.25928,435.07449340820307,-3.919708251953182,0.0
2008-06-05,535.0,545.0,530.0,540.0,423.315673828125,166987500,BBCA.JK,423.23093,427.2353210449219,0.0,-3.919647216796875
2008-06-18,500.0,500.0,490.0,500.0,401.67572021484375,66712500,BBCA.JK,394.36438,397.6589050292968,0.0,4.016815185546932
2008-06-19,495.0,500.0,485.0,495.0,397.6589050292969,86967500,BBCA.JK,390.1343,397.6589050292968,0.0,5.684341886080802e-14
2008-06-20,495.0,500.0,490.0,495.0,397.6589050292969,71782500,BBCA.JK,391.64578,377.57522583007807,0.0,20.083679199218807
2008-06-25,475.0,475.0,460.0,475.0,381.5919494628906,139435000,BBCA.JK,377.06866,389.62548828124994,0.0,-8.033538818359318
